run_at,mode,topK,iters,service,consistency,avg_ms,p50_ms,p95_ms,max_ms,min_ms,calls,queries,sessions,since,until,warm,cache_temp,exhaustive_max,server_ms_avg
2026-06-24T14:46:01.000Z,unfiltered,10,50,qdrant,strong,193.2,199.8,233.9,302.1,135.2,250,5,,,,true,,,
2026-06-24T14:46:01.000Z,unfiltered,10,50,opensearch,strong,13.5,12.8,16.7,57.5,10.4,250,5,,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,10,50,turbopuffer,strong,29.4,26.4,49.4,96.3,24.2,250,5,2163,,,true,hot,0,20
2026-06-24T14:46:01.000Z,filtered-session,10,50,pinecone,strong,23.6,20.7,38.7,99.4,16.4,250,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,10,50,qdrant,strong,58.6,57.1,84.2,94.5,9.5,250,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,10,50,opensearch,strong,13.3,12.3,18.8,118.8,9.2,250,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,10,50,turbopuffer,strong,47.6,45.7,55.5,103.6,41.5,250,5,,2026-06-10,,true,hot,0,29.6
2026-06-24T14:46:01.000Z,filtered-time,10,50,pinecone,strong,25.7,21.5,51.6,118.5,17.4,250,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,10,50,qdrant,strong,73,70,100,110.5,18.2,250,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,10,50,opensearch,strong,15.5,15.1,18.4,103.5,12,250,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,unfiltered,50,5,turbopuffer,strong,23.9,22.3,37.3,44.4,16.2,25,5,,,,true,hot,0,14.8
2026-06-24T14:46:01.000Z,unfiltered,50,5,pinecone,strong,27.3,24.3,41.9,69.5,20.1,25,5,,,,true,,,
2026-06-24T14:46:01.000Z,unfiltered,50,5,qdrant,strong,177.4,180,219.3,220,144.3,25,5,,,,true,,,
2026-06-24T14:46:01.000Z,unfiltered,50,5,opensearch,strong,256.1,20.7,1022,1315.6,13.4,25,5,,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,50,5,turbopuffer,strong,30.7,28.2,40.1,67,26.8,25,5,2163,,,true,hot,0,20.9
2026-06-24T14:46:01.000Z,filtered-session,50,5,pinecone,strong,20.6,20.2,24.1,24.5,16.5,25,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,50,5,qdrant,strong,57.3,56.5,73.2,79,13.6,25,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,50,5,opensearch,strong,11.9,11,19.9,20.1,9.3,25,5,2163,,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,50,5,turbopuffer,strong,46.7,46.4,49.6,51.4,44.4,25,5,,2026-06-10,,true,hot,0,29.8
2026-06-24T14:46:01.000Z,filtered-time,50,5,pinecone,strong,25.8,21.7,40,85.7,19.5,25,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,50,5,qdrant,strong,77.4,80,90.1,90.6,22.4,25,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,filtered-time,50,5,opensearch,strong,38.7,16.3,137.7,182.9,13.2,25,5,,2026-06-10,,true,,,
2026-06-24T14:46:01.000Z,unfiltered,50,50,turbopuffer,strong,21.8,18.9,39.1,109.2,15.1,250,5,,,,true,hot,0,14.5
2026-06-24T14:46:01.000Z,unfiltered,50,50,pinecone,strong,24.9,22.4,40.4,102,18.6,250,5,,,,true,,,
2026-06-24T14:46:01.000Z,unfiltered,50,50,qdrant,strong,164,169.8,219.8,242,89.7,250,5,,,,true,,,
2026-06-24T14:46:01.000Z,unfiltered,50,50,opensearch,strong,15.7,14.9,20.3,51.6,12.6,250,5,,,,true,,,
2026-06-24T14:46:01.000Z,filtered-session,50,50,turbopuffer,strong,33,28.7,61.3,104,26.3,250,5,2163,,,true,hot,0,22
2026-06-24T14:46:01.000Z,filtered-session,50,50,pinecone,strong,25.5,21.2,41.7,237.3,16.6,250,5,2163,,,true,,,
