run_at,mode,topK,iters,service,consistency,avg_ms,p50_ms,p95_ms,max_ms,min_ms,calls,queries,sessions,since,until,warm
2026-06-23T15:34:00.000Z,unfiltered,5,5,opensearch,eventual,71.6,13.7,23.2,1442.3,11.9,25,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,5,5,pinecone,eventual,52.4,56.4,105.0,121.9,20.9,25,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,5,5,turbopuffer,eventual,12.0,11.9,13.4,13.6,10.9,25,5,,,,false
2026-06-23T15:34:00.000Z,filtered,5,5,opensearch,eventual,10.5,9.8,13.5,15.2,7.9,25,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,unfiltered,5,50,pinecone,eventual,28.6,24.3,50.3,145.3,17.8,250,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,5,50,turbopuffer,eventual,12.4,12.1,14.2,18.1,10.9,250,5,,,,false
2026-06-23T15:34:00.000Z,filtered,5,50,opensearch,eventual,10.5,9.8,13.6,62.3,7.5,250,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,filtered,5,50,pinecone,eventual,20.3,16.3,37.2,168.8,10.6,250,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,filtered,5,50,turbopuffer,eventual,20.5,20.1,24.1,30.7,17.7,250,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,unfiltered,10,5,opensearch,eventual,14.5,14.4,19.2,19.6,10.9,25,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,10,5,pinecone,eventual,37.2,27.2,94.7,127.3,20.4,25,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,10,5,turbopuffer,eventual,13.1,13.0,14.7,15.9,11.6,25,5,,,,false
2026-06-23T15:34:00.000Z,filtered,10,5,opensearch,eventual,10.5,10.3,11.9,12.7,8.8,25,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,filtered,10,5,pinecone,eventual,23.1,16.7,32.1,134.5,11.8,25,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,filtered,10,5,turbopuffer,eventual,21.0,20.9,22.5,25.2,19.0,25,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,unfiltered,10,50,opensearch,eventual,14.8,14.2,19.0,48.3,10.9,250,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,10,50,pinecone,eventual,34.0,27.7,65.9,223.6,19.7,250,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,10,50,turbopuffer,eventual,14.4,13.7,17.8,41.3,11.2,250,5,,,,false
2026-06-23T15:34:00.000Z,filtered,10,50,opensearch,eventual,11.2,10.8,14.3,27.1,8.1,250,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,filtered,10,50,pinecone,eventual,33.3,21.3,88.2,354.4,11.5,250,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,filtered,10,50,turbopuffer,eventual,21.3,20.9,24.9,29.1,19.0,250,5,2163,2026-06-10,,false
2026-06-23T15:34:00.000Z,unfiltered,50,5,opensearch,eventual,33.6,22.2,114.4,132.4,17.5,25,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,50,5,pinecone,eventual,52.6,41.7,140.3,231.0,24.5,25,5,,,,false
2026-06-23T15:34:00.000Z,unfiltered,50,5,turbopuffer,eventual,20.1,20.5,23.0,26.2,16.8,25,5,,,,false
