run_at,mode,topK,iters,service,consistency,avg_ms,p50_ms,p95_ms,max_ms,min_ms,calls,queries,sessions,since,until,warm
2026-06-23T22:15:31.000Z,unfiltered,5,5,turbopuffer,eventual,11.5,11.5,12.8,14.7,10.2,25,5,,,,true
2026-06-23T22:15:31.000Z,unfiltered,5,5,pinecone,eventual,54.4,58.4,146.8,161.1,18.8,25,5,,,,true
2026-06-23T22:15:31.000Z,unfiltered,5,5,opensearch,eventual,28.4,13.1,123.2,253.3,10.1,25,5,,,,true
2026-06-23T22:15:31.000Z,filtered-session,5,5,turbopuffer,eventual,26.6,26.7,28.2,30.7,24.2,25,5,2163,,,true
2026-06-23T22:15:31.000Z,filtered-session,5,5,pinecone,eventual,23.2,20.3,40.8,54.6,18.2,25,5,2163,,,true
2026-06-23T22:15:31.000Z,filtered-session,5,5,opensearch,eventual,11.2,10.8,14.3,15.6,9,25,5,2163,,,true
2026-06-23T22:15:31.000Z,filtered-time,5,5,turbopuffer,eventual,44.2,44.4,47.3,47.4,41.5,25,5,,2026-06-10,,true
2026-06-23T22:15:31.000Z,filtered-time,5,5,pinecone,eventual,22.3,21.2,27.7,42.9,17.7,25,5,,2026-06-10,,true
2026-06-23T22:15:31.000Z,filtered-time,5,5,opensearch,eventual,15.2,14.6,18.8,19.3,12.6,25,5,,2026-06-10,,true
2026-06-23T22:15:31.000Z,unfiltered,5,50,turbopuffer,eventual,11.1,10.9,12.9,19.1,9.5,250,5,,,,true
2026-06-23T22:15:31.000Z,unfiltered,5,50,pinecone,eventual,24.2,20.7,39.1,199.2,17.6,250,5,,,,true
2026-06-23T22:15:31.000Z,unfiltered,5,50,opensearch,eventual,12.5,12.1,15.7,37.7,9.6,250,5,,,,true
2026-06-23T22:15:31.000Z,filtered-session,5,50,turbopuffer,eventual,25,24.8,27.5,30.6,22.4,250,5,2163,,,true
2026-06-23T22:15:31.000Z,filtered-session,5,50,pinecone,eventual,23.1,19.1,40.3,287.7,15.5,250,5,2163,,,true
2026-06-23T22:15:31.000Z,filtered-session,5,50,opensearch,eventual,12.2,10.7,21.1,45.3,8.2,250,5,2163,,,true
2026-06-23T22:15:31.000Z,filtered-time,5,50,turbopuffer,eventual,41.6,41.4,44.3,50.2,39,250,5,,2026-06-10,,true
2026-06-23T22:15:31.000Z,filtered-time,5,50,pinecone,eventual,23.9,20.3,38.3,241.9,17.4,250,5,,2026-06-10,,true
2026-06-23T22:15:31.000Z,filtered-time,5,50,opensearch,eventual,15.2,14.5,18.5,57.4,11.6,250,5,,2026-06-10,,true
2026-06-23T22:15:31.000Z,unfiltered,10,5,turbopuffer,eventual,10.6,10.5,12,12.7,9.1,25,5,,,,true
2026-06-23T22:15:31.000Z,unfiltered,10,5,pinecone,eventual,30.3,21.8,78.1,79,19,25,5,,,,true
2026-06-23T22:15:31.000Z,unfiltered,10,5,opensearch,eventual,13.8,13.2,17.4,17.6,10.9,25,5,,,,true
