run_at,mode,topK,iters,service,consistency,avg_ms,p50_ms,p95_ms,max_ms,min_ms,calls,queries,sessions,since,until,warm
2026-06-18T16:52:27.154Z,unfiltered,10,30,turbopuffer,strong,91.9,72.8,177.9,353.1,61.4,150,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,10,30,pinecone,strong,117.9,101,238.2,459.1,58.6,150,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,10,30,qdrant,strong,66.6,53.8,140.1,221.8,48.7,150,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,10,5,turbopuffer,strong,86.7,69.4,159.5,300.9,62.4,25,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,10,5,pinecone,strong,86.7,62.6,176,297,56.9,25,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,10,5,qdrant,strong,63.7,54.3,127.9,140.8,51.2,25,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,5,30,turbopuffer,strong,91.5,66.2,161.9,1045.9,58.8,150,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,5,30,pinecone,strong,89.8,60.3,190,728.1,54.8,150,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,5,30,qdrant,strong,70.6,54,141.9,247.3,49.2,150,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,5,5,turbopuffer,strong,99.9,72.5,181.5,330,61.5,25,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,5,5,pinecone,strong,84.4,61.1,139.9,344.9,55.9,25,5,,,,true
2026-06-18T16:52:27.154Z,unfiltered,5,5,qdrant,strong,71.9,54.1,140.7,173.3,49,25,5,,,,true
2026-06-18T16:52:27.154Z,filtered,10,30,turbopuffer,strong,94.1,66.1,220.4,421.4,54.2,150,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,10,30,pinecone,strong,70.1,53.9,140.2,473.5,49.4,150,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,10,30,qdrant,strong,59.6,49.6,130.9,209.2,45.8,150,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,10,5,turbopuffer,strong,74.1,65.9,126.2,139.7,56,25,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,10,5,pinecone,strong,84.9,56.6,211.5,213,50.2,25,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,10,5,qdrant,strong,59.8,50.5,126,140.8,46.8,25,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,5,30,turbopuffer,strong,76.4,63.2,148.9,224.7,56,150,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,5,30,pinecone,strong,69.3,53.2,151.8,579.8,48.4,150,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,5,30,qdrant,strong,61.1,49.5,129.9,277.1,45.7,150,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,5,5,turbopuffer,strong,97.8,69.7,292.3,303.4,57.4,25,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,5,5,pinecone,strong,73.5,52.4,187.4,193,48.5,25,5,2163,2026-06-10,,true
2026-06-18T16:52:27.154Z,filtered,5,5,qdrant,strong,58.2,49.5,129.6,132.6,47.5,25,5,2163,2026-06-10,,true
